y,ds
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
98,2023-04-08
99,2023-04-08
98,2023-04-08
99,2023-04-08
99,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
97,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
97,2023-04-07
97,2023-04-07
98,2023-04-07
98,2023-04-07
97,2023-04-07
98,2023-04-07
98,2023-04-07
97,2023-04-07
97,2023-04-07
97,2023-04-07
97,2023-04-07
97,2023-04-07
97,2023-04-07
97,2023-04-07
97,2023-04-07
97,2023-04-07
97,2023-04-07
97,2023-04-07
97,2023-04-07
97,2023-04-07
97,2023-04-07
97,2023-04-07
97,2023-04-07
97,2023-04-07
97,2023-04-07
97,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
